num_training_steps,avg_reward
1155500.0,-1.5748163486815545
1287500.0,-1.5748163486815545
215000.0,-2.5667766852970293
1040000.0,-1.5940035282820721
264500.0,-2.566776683313096
479000.0,-2.566776683313096
20500.0,-1.26014704029428
165500.0,-2.574900067534813
1304000.0,-1.5748163486815545
1337000.0,-1.5748163486815545
40500.0,-0.9989066629657137
1370000.0,-1.608701414652268
413000.0,-2.566776683313096
1238000.0,-1.5748163486815545
1386500.0,-1.4101296448168983
693500.0,-2.566776683313096
297500.0,-2.566776683313096
512000.0,-2.5667766870713074
957500.0,-1.4656484971399124
83000.0,-2.566776683313096
495500.0,-2.566776683313096
182000.0,-2.5655942180762485
1007000.0,-1.5326491542336804
1686500.0,-2.0566485067615883
17000.0,-2.5425635985942527
198500.0,-2.5689135291962604
231500.0,-2.559476063271445
396500.0,-2.566776683313096
990500.0,-1.4558661171871108
726500.0,-2.566776683313096
380000.0,-2.566776683313096
314000.0,-2.566776683313096
363500.0,-2.566776683313096
561500.0,-2.566776727332085
15500.0,-0.7384265713393215
611000.0,-2.566776683313096
50000.0,-2.5689130863905483
545000.0,-2.5688713881226755
1320500.0,-1.5748163486815545
132500.0,-2.566776683313096
281000.0,-2.566776683313096
66500.0,-2.566776683313096
446000.0,-2.566776683313096
33500.0,-2.559776780872675
792500.0,-2.566776683313096
809000.0,-2.569578215446814
677000.0,-2.566776683313096
10500.0,-1.2408582024599
1172000.0,-1.5748163486815545
594500.0,-2.566776683313096
1486500.0,-1.8899902249171523
1986500.0,-2.0566485067615883
149000.0,-2.5680488892885482
1271000.0,-1.5748163486815545
500.0,-2.570055505726172
660500.0,-2.566776683313096
1089500.0,-1.5940035282820721
116000.0,-2.566776683313096
858500.0,-2.5688697863172147
710000.0,-2.566776683313096
45500.0,-0.20639789766879654
429500.0,-2.566776683313096
974000.0,-1.4656484971399124
347000.0,-2.566776683313096
743000.0,-2.566776683313096
1073000.0,-1.5940035282820721
891500.0,-2.568925915403931
1122500.0,-1.5940035282820721
1205000.0,-1.5748163486815545
1188500.0,-1.5748163486815545
875000.0,-2.5688372755645923
1786500.0,-2.0566485067615883
842000.0,-2.5451743291033018
1221500.0,-1.5748163486815545
908000.0,-2.0480787844180726
627500.0,-2.566776683313096
1139000.0,-1.5940035282820721
30500.0,-1.0376840406509118
1353500.0,-1.5748163486815545
924500.0,-1.8992110899925765
941000.0,-1.5642403720495865
759500.0,-2.566776683313096
528500.0,-2.5176080054138303
1023500.0,-1.5940035282820721
1586500.0,-2.0566485067615883
462500.0,-2.566776683313096
248000.0,-2.5617820571788616
1886500.0,-2.0566485067615883
99500.0,-2.566776683313096
578000.0,-2.566776683313096
330500.0,-2.566776683313096
1254500.0,-1.5748163486815545
60500.0,-1.4335144667533561
776000.0,-2.566776683313096
825500.0,-2.5720703543669083
1056500.0,-1.5940035282820721
1106000.0,-1.5940035282820721
644000.0,-2.566776683313096
