num_training_steps,avg_reward
704512.0,-0.8050067446599182
376832.0,-0.8758595364634479
1687552.0,-0.7655498421357751
1228800.0,-0.818665880317629
1310720.0,-0.6638709467987708
163840.0,-0.8315998275140456
4096.0,-1.1207672684796457
393216.0,-0.9152004218660796
573440.0,-0.7220621979158843
868352.0,-0.7882786840231133
1753088.0,-0.7825836522736255
950272.0,-0.720052241540398
737280.0,-0.8187996766768147
442368.0,-0.894568573503273
786432.0,-0.7401375662148544
1802240.0,-0.6880098744564733
655360.0,-0.7207645243961756
294912.0,-0.8485943451494553
1359872.0,-0.8609643960692327
1114112.0,-0.8688399315898504
425984.0,-0.9106810097819582
278528.0,-0.9428638162119176
1867776.0,-0.8011998771774829
98304.0,-0.9781428633629085
1703936.0,-0.6119731503701946
16384.0,-1.0067987590520182
1048576.0,-0.7439069640020854
1081344.0,-0.6894483796148569
1540096.0,-0.5519615256299442
1425408.0,-0.6889827989810707
262144.0,-1.0896848197401736
901120.0,-0.8195869639925981
1474560.0,-0.7311392988901256
1441792.0,-0.7238523950452237
1851392.0,-0.6906082315718086
1998848.0,-0.7300598996470449
1572864.0,-0.6581768071532287
884736.0,-0.7840226037719142
32768.0,-0.9497829767995962
557056.0,-0.8340941175765139
49152.0,-1.0532191017841053
851968.0,-0.8938545489479353
1458176.0,-0.7382786821155696
2015232.0,-0.7946618651441257
1736704.0,-0.7307335891384861
622592.0,-0.744971325504669
458752.0,-0.8078877041263388
819200.0,-0.7610191805730312
1015808.0,-0.751402204145305
671744.0,-0.7180325592682724
311296.0,-0.9524438081094638
65536.0,-1.0246960782436374
1146880.0,-0.8949925002990813
1409024.0,-0.8163119746546207
1589248.0,-0.7645827154412593
1638400.0,-0.6355335132084353
1277952.0,-0.7428341637388692
1818624.0,-0.6511265051172405
770048.0,-0.8229483247107927
327680.0,-0.812910261295634
344064.0,-0.8394447302349215
212992.0,-0.9188496313041429
1966080.0,-0.8417138566560187
1507328.0,-0.6152860218160445
1343488.0,-0.6741644322840691
933888.0,-0.7802808224101213
606208.0,-0.828673858425659
1261568.0,-0.7561672967782568
1196032.0,-0.7619550675952428
131072.0,-0.9924628569656897
229376.0,-0.9558303587587317
1785856.0,-0.7170111372252198
1392640.0,-0.7725125757125152
1605632.0,-0.7764657290854429
180224.0,-0.9708017872043755
966656.0,-0.7857873272238833
753664.0,-0.8129817924661057
917504.0,-0.8843933019488831
1245184.0,-0.8182059934126571
1654784.0,-0.7272779110601725
507904.0,-0.8485452228706488
1671168.0,-0.694700504429181
1933312.0,-0.739335381948573
1490944.0,-0.7516734359181056
1523712.0,-0.6594504347258042
1769472.0,-0.8249889818205333
147456.0,-0.9827180219963099
720896.0,-0.7356469105424172
1720320.0,-0.7543358484182937
1884160.0,-0.5923260878392552
81920.0,-0.9911893235898751
1835008.0,-0.7406786651391737
589824.0,-0.8475191741854219
1163264.0,-0.7396076641355035
491520.0,-0.7318854611806812
475136.0,-0.6865139648384434
1327104.0,-0.6676710377512153
1179648.0,-0.8287823041504041
688128.0,-0.7636764017227925
1212416.0,-0.7541936218164363
360448.0,-0.9187872794642664
1130496.0,-0.7184851895862188
1622016.0,-0.6234611124295021
114688.0,-0.9555083959533698
1097728.0,-0.7831279627743855
540672.0,-0.8081293092859719
409600.0,-0.943895334876532
1032192.0,-0.8764853987105926
1376256.0,-0.8730511281235194
802816.0,-0.7376457090275248
1556480.0,-0.6072588104348936
835584.0,-0.7914557855588427
245760.0,-0.935893563980932
196608.0,-0.8727263571108209
1916928.0,-0.8512241958924456
999424.0,-0.7485836117643351
1949696.0,-0.8614971057788842
524288.0,-0.7926824435924275
1064960.0,-0.7335592061515573
1900544.0,-0.6848635241863534
1294336.0,-0.7132582279885038
983040.0,-0.663861684363862
1982464.0,-0.7990438608772119
638976.0,-0.8660848138498196
